"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"1","Port Elizabeth Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python","Supabase","Amazon Web Services (AWS);Netlify;Vercel","Next.js;React;Remix;Vue.js","Healthcare","ChatGPT","Favorable","Employed, full-time"
"2","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","BigQuery;Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel","Express;Gatsby;NestJS;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"3","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Dynamodb;MongoDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Fly.io;Netlify;Vercel","Angular;Express;Next.js;Node.js;React","Oil & Gas","Bing AI;ChatGPT;Google Bard AI","Adrenaline;GitHub Copilot;Mintlify;Replit Ghostwriter;Synk Code","Employed, full-time"
"4","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel","Angular;Express;NestJS;React","Healthcare","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine","Not employed, but looking for work"
"5","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;MySQL;Redis","Digital Ocean;Microsoft Azure;Netlify","ASP.NET CORE;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"6","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript","Cassandra;Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","Angular;Express;Spring Boot","Insurance","ChatGPT","Tabnine;Whispr AI","Employed, full-time"
"7","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","Elasticsearch","Firebase;Microsoft Azure","Express;Gatsby;Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Mintlify","Employed, full-time"
"8","Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL","Netlify;Vercel","Express;Next.js;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
"9","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Ruby;TypeScript","MySQL","Amazon Web Services (AWS);Cloudflare;Netlify","Laravel;Next.js;React;Ruby on Rails","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed, full-time"
"10","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Dynamodb;MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean","Express;Node.js;React","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"11","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Scala;SQL;TypeScript","Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure","Django;FastAPI;Flask;jQuery;Node.js;Vue.js;WordPress","Legal Services","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
"12","Durban Campus","IT","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","Elixir;Go;Java;JavaScript;PHP;Ruby","MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware","jQuery;Node.js;Spring Boot;WordPress","Wholesale","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"13","Durban Campus","IT","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Java;JavaScript;Lua;Python;SQL;TypeScript","Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;Hetzner","AngularJS;Node.js;Spring Boot","Oil & Gas","ChatGPT","Adrenaline;Tabnine","Employed, full-time"
"14","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;SQL;TypeScript","Elasticsearch;Microsoft SQL Server;SQLite","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery","Financial Services","ChatGPT;Google Bard AI","Rubber Duck.AI","Employed, full-time"
"15","Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","MySQL;Supabase","Netlify;Vercel","jQuery;Node.js;Nuxt.js;React;Vue.js;WordPress","Oil & Gas","ChatGPT","Codeium;GitHub Copilot","Employed, full-time"
"16","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;TypeScript","MongoDB","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"17","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL","Google Cloud;Heroku","Express;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Rubber Duck.AI;Synk Code","Not employed, but looking for work"
"18","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;SQL","MongoDB;MySQL;Redis","Amazon Web Services (AWS);Netlify;Vercel","CodeIgniter;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed, full-time"
"19","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","MySQL","Amazon Web Services (AWS)","Angular;Next.js;Node.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Employed, full-time"
"20","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure","Angular;AngularJS;Express;Laravel;Node.js;Spring Boot","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"21","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL","Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Firebase;Google Cloud;Managed Hosting","Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress","Advertising Services","Bing AI;ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
"22","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;PHP;Ruby","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku","Laravel;Node.js;Vue.js;WordPress","Legal Services","ChatGPT","Rubber Duck.AI;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"23","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net)","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Heroku;Microsoft Azure;Netlify;VMware","ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress","Insurance","ChatGPT","GitHub Copilot;Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time"
"24","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;Objective-C;PHP;SQL;Swift;TypeScript","BigQuery;MariaDB;MongoDB;MySQL;Redis","Firebase;Hetzner;Managed Hosting;Vercel","AngularJS;Express;jQuery;Laravel;Next.js;Node.js;Qwik;React;Remix;Spring Boot;Symfony;Vue.js;WordPress","Higher Education","Bing AI;ChatGPT;WolframAlpha;You.com","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"25","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;JavaScript;PHP;TypeScript","MySQL;PostgreSQL;SQLite","Microsoft Azure;OVH","NestJS","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Tabnine","Employed, full-time"
"26","Nelspruit Campus","Computer Science","I am a developer by profession","System administrator","Some college/university study without earning a degree","TypeScript","MongoDB","Google Cloud","Express;Node.js;React;WordPress","Oil & Gas","ChatGPT","Mintlify","Independent contractor, freelancer, or self-employed"
"27","Durban Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript","Cockroachdb;Cosmos DB;Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis","Digital Ocean;Microsoft Azure","Angular;AngularJS;Spring Boot;Vue.js;WordPress","Insurance","Bing AI;ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"28","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel","Express;Node.js","Other","ChatGPT","Mintlify","Employed, full-time;Independent contractor, freelancer, or self-employed"
"29","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","AngularJS;ASP.NET;Flask;Node.js;Spring Boot","Legal Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"30","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","MySQL","Microsoft Azure","Express;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, part-time"
"31","Pretoria Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript","InfluxDB;Microsoft SQL Server;MongoDB;PostgreSQL;RavenDB;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Microsoft Azure","ASP.NET CORE;Blazor;NestJS;Node.js;React","Healthcare","Bing AI;ChatGPT;Phind","AWS CodeWhisperer;Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"32","Nelspruit Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;HTML/CSS;JavaScript;Python;TypeScript","Cassandra;MySQL;Oracle;Redis;SQLite","Amazon Web Services (AWS)","Django;FastAPI;Flask","Financial Services","ChatGPT;WolframAlpha;You.com","GitHub Copilot;Tabnine","Employed, full-time"
